text,label
"WASHINGTON — A coalition of abortion and civil rights groups are launching an effort Monday to put constitutional protections for abortion on Florida's ballot in next year's election. The ballot initiative seeks a state constitutional amendment to bar restrictions on abortion before fetal viability, considered to be at about the 24th week of pregnancy, undoing the state’s current 15-week ban and recently passed six-week ban, according to Planned Parenthood, which provided NBC News with a preview of the effort. ""No law shall prohibit, penalize, delay, or restrict abortion before viability or when necessary to protect the patient’s health, as determined by the patient’s healthcare provider,"" the ballot summary will say. ""This amendment does not change the Legislature’s constitutional authority to require notification to a parent or guardian before a minor has an abortion."" The ballot campaign was first reported by Politico. The groups behind the effort include Planned Parenthood affiliates, the ACLU of Florida, Florida Rising and Women's Voices of Southwest Florida. Representatives from the various organizations will unveil their effort Monday morning in Tallahassee. ""Floridians want the freedom to make their own personal health care decisions without interference from politicians, but the Legislature recently passed, and Gov. Ron DeSantis signed, a six-week abortion ban. That’s before many people even know they’re pregnant,"" said a media advisory for the event. ""The decision to have an abortion belongs to Floridians, their families, and those they trust — this campaign is an opportunity to ensure those protections remain in our state constitution,"" it added. The coalition is turning to Florida voters to try to overturn recent legislation signed by DeSantis, a Republican, that would ban most abortions after six weeks, with exemptions for rape and incest at up to 15 weeks of pregnancy. It does not change existing exceptions that aim to protect the life and the health of the mother at up to 15 weeks of pregnancy.",0
"Montana Rep. Zooey Zephyr said when debating SB99, ""If you vote yes on this bill and yes on these amendments I hope the next time there’s an invocation when you bow your heads in prayer, you see the blood on your hands."" Montana signed a slate of pro-life bills Wednesday intended to protect the unborn as well as medical providers who have ethical objections to abortion. ""Today, we stand together – on the steps of the people’s house – to mark another historic day for Montana,"" Gov. Gianforte said. ""Today, we are protecting the lives of the most vulnerable amongst us: unborn children."" The ceremony was broadcast live on the Republican's ""Today, we’re giving a voice to the voiceless, help to the helpless,"" the governor said, addressing Montana voters at the bill signing ceremony outside the state capitol. Prior to signing the legislation, Gianforte touted his, and other conservative Montana lawmakers' pro-life records. He claimed, ""You know me and you know how dedicated I am to the cause of life. Like you, I firmly believe that all life is precious and needs to be protected. I've been proud to stand with you for life before I was in public service and now as your governor. And I'm proud to stand with you today."" One notable bill Gianforte signed protects infants born alive following a failed abortion. House bill 625, The Infant Safety and Care Act, requires medical providers to give life-saving care to these infants. The bill, sponsored by Rep. Kerri Seekins-Crowe, R-Billing, recognizes these infants as legal persons deserving of medical care like any other newborn. A majority of Montana voters a similar referendum on the 2022 midterm ballot. The bill addresses some concerns opponents to the referendum had last fall, such as lessening penalties for practitioners who violate the law from criminal to civil, the governor's office said. ""A civilized society should never deny lifesaving, medically necessary care to any child born alive, including one who survives an attempted abortion,"" GOP sponsor Commenting on the bill at the ceremony, Gianforte declared, ""We must protect the lives of the innocent – little babies who are born alive following a botched abortion. Today we are giving a voiceless to the voiceless and help to the helpless. We're establishing in Montana law that a baby born alive following an attempted abortion is a patient, a human being who deserves life-saving care and the right to life."" A second bill, HB 303, will protect healthcare workers from being discriminated against if they refuse to assist in an abortion due to ethical, moral, or religious objections. Another bill signed on Wednesday was Senate Bill 154. The GOP bill clarifies the right to privacy under state law, does not mean the right to an abortion or state funding of abortion. The governor signed two other pro-life bills on Wednesday – House Bill 786 and House Bill 575. The former requires there to be reporting on all women in the state harmed by abortion drugs, such mifepristone. The governor claimed this bill will ""hold those distributing these drugs accountable and shed light on the consequences of this practice."" The latter bill prohibits abortions for unborn children past their point of 24 weeks, unless the mother's life is endangered by the pregnancy. GOP state Rep. Lola Sheldon-Galloway, who sponsored the last two bills signed by the governor Wednesday, gave a few words at the signing, saying, ""I'm a fighter for the unborn. I will always stand on that ground."" Commenting on HB 575, she declared, ""Our Constitution protects us at viability. That needed to be defined."" Two other bills awaiting the governor's signature prohibit taxpayer funds being used to pay for abortion, through a statewide adoption of the Hyde Amendment and a ban on elective abortions being covered through Medicaid. While the Hyde Amendment restricts the use of federal dollars for abortion except to save the life of the mother or in cases of incest or rape, it does not prohibit states from using its own funds to cover abortions. Other pro-life bills passed through the legislature include an adoption tax credit, a ban on dismemberment abortion, and increased oversight of abortion clinics. Under the proposed tax credit, Montana families would receive a $7,500 tax credit for each child adopted through the state's foster care system and $5,000. for a child adopted outside of it, on or after July 1, 2022. House bill 721 would ban dismemberment abortion, which is commonly called dilation and evacuation and used in second trimester abortions. The bill was sponsored by Rep. Matt Regier and has already received backlash from the abortion lobby. filed a preemptive lawsuit in April seeking to stop the legislation before it hit the governor's desk. The lawsuit argues that H.B. 721 ""violates the Montana Constitution, which as the Montana Supreme Court held more than two decades ago in the decision protects Montanans' right to privacy and access to pre-viability abortions,"" Planned Parenthood argued. The governor's office blasted the lawsuit in a statement. ""The fact that the bill hasn’t even come to the governor’s desk for his review and Planned Parenthood is already running to court tells Montanans everything they need to know about the far left, pro-abortion group and its extreme tactics,"" press secretary Kaitlin Price wrote. Several Republican-led states have enacted bans on abortion following the Supreme Court's 2022 ruling overturning . However, many of these state bans have been held up in the court system following lawsuits from abortion supporters.",1
"continued efforts to protect abortion rights Wednesday as the state Legislature advanced a bill that would outlaw companies from retaliating against employees for receiving abortions. The bill passed along party lines in the Michigan House after previously having been approved by the Senate in March. It would amend the state’s Elliott-Larsen Civil Rights act to prohibit employers from treating a worker differently for terminating a pregnancy. ""No one should lose their job or have to worry about their employment when making a decision that relates solely to their bodily autonomy,"" said Democratic Rep. Felicia Brabec of Ann Arbor. is expected to sign the legislation, and has emerged as a leader in the movement to protect abortion rights. Dr. Sarah Wallett, Michigan’s chief medical operating officer, testified in March during a Senate committee hearing in favor of the legislation. ""Whatever factors go into a person’s decision to end a pregnancy, it is certainly none of their bosses' business,"" Dr. Wallett said. ""Having an abortion has no impact on somebody's ability to perform a job."" It would be the second time this year that Democrats have amended the state's decades-old civil rights law. In March, Whitmer signed legislation that added LGBTQ+ protections by permanently outlawing discrimination on the basis of sexual orientation or gender identity. Since the fall of Roe last year, protecting abortion rights has been a priority for Michigan Democrats, who control both chambers of the Legislature and the governor’s office. In last November's midterms, voters overwhelmingly approved a ballot measure that enshrined abortion rights in the state's Constitution. Republicans who spoke out against the bill prior to the vote were opposed to legality of abortion as a whole and said it could be an infringement of religious freedoms. The Michigan Catholic Conference, the public policy arm of the in Michigan, said in a statement that they were in ""strong opposition"" to the legislation. The Elliott-Larsen Civil Rights Act prohibits discrimination in employment, housing and public services based on religion, race, color, national origin, age, sex, height, weight, familial status or marital status. Get the latest updates from the 2024 campaign trail, exclusive interviews and more Fox News politics content.",2
"North Carolina lawmakers this week approved dozens of bills in a marathon legislative session as state Republicans continued riding a wave of momentum in the aftermath of a high-profile defection of a Democratic legislator. The state Senate on Thursday passed legislation that would ban most abortions after 12 weeks of pregnancy, making exceptions for rape, incest, fetal abnormality, or danger to the life of the mother. North Carolina law currently allows abortion up to 20 weeks. The vote came about 24 hours after the state House passed the abortion bill along with dozens of others in a marathon voting session that stretched into late Wednesday night. Lawmakers took up 56 bills to meet a deadline after which legislation not involving appropriations or revenue or not part of a legislative study isn't eligible to be passed by the other chamber for the remainder of the 2023-24 legislative session. For its part, the Senate acted on another dozen bills. The abortion measure, which includes increased payments for foster care families and greater funding for childcare centers that aid low-income families, now goes to the desk of Democratic Gov. Roy Cooper, who promised to veto it in a statement on Thursday. However, Republicans now have a veto-proof supermajority in both chambers of the state legislature thanks to state Rep. Tricia Cotham, who announced last month that she was joining the Republican Party after serving her deep blue Charlotte-area district as a Democrat. While North Carolina Republicans already held strong majorities, Cotham's decision gave Republicans a supermajority in the House in what observers described as a ""political earthquake."" The threat of a veto from Cooper, who has vetoed more than 75 measures since taking office in 2017, had prevented Republicans from implementing much of their agenda. But now the GOP has a clearer path to push a wide range of legislation — including on abortion. Cotham's vote may prove critical in potentially overriding Cooper's expected veto. While the newly minted Republican previously promised to codify Roe v. Wade in her state and has taken more liberal positions on other social issues, she voted in favor of the abortion ban this week. The state Senate also has a GOP supermajority. Beyond abortion, Cotham has taken the lead in pushing Republican-backed measures to expand school choice and implement other conservative reforms to education. One such bill that passed the House this week is designed to provide equal funding for charter school students as well as those attending traditional public schools. It would change the current factors which determine per-pupil funding that public school districts must share with local charter schools, with proponents arguing money should follow the student if their family chooses to attend a charter school. Another bill currently pending in both chambers that has full GOP support in the House would expand the state's school voucher program and existing Opportunity Scholarships — which are designed to allow low- and moderate-income families to attend the private school of their choice — to all students to attend private schools or cover educational expenses through a tiered system based on income. ""This is about putting kids first, about empowering families, and about changing education in North Carolina to benefit everyone across the state,"" Cotham said this week. ""At the end of the day, it's about putting kids first — not adults, not systems, not bureaucrats, but children."" As chair of the Education K-12 House Standing Committee, Cotham is in a prime position to influence education reform bills that come out of the House.",1
"After the US Supreme Court overturned Roe v. Wade in June, an obstetrician who works at a hospital in the Northeast thought she could make a difference by publicly describing what she was seeing, by telling the stories of the patients she saw suffering in the aftermath of the court’s historic court ruling. So when a reporter from The New York Times reached out, she was grateful for the opportunity to discuss the plight of patients traveling to her hospital from states that had abortion restrictions. Abortion rights activists participate in an impromptu demonstration outside of the the U.S. Supreme Court in Washington, D.C., US, on Monday, June 27 2022. Photographer: Sarah Silbiger/CNN Abortion is a key motivator for US voters in midterm elections, new survey finds The obstetrician passed along the reporter’s inquiry to her hospital’s public relations office, asking for permission to do the interview, noting that the reporter approached her because she holds a leadership position on a state government maternal mortality committee. A hospital PR official replied that “without any notable exceptions, we are not participating in interviews at this time” and asked the doctor to send along the reporter’s questions and her proposed answers. The doctor sent along the questions and answers and received a resounding “no” from the PR official: “We ask that you do not comment to the NY Times at this time.” “They’re censoring me,” the doctor told CNN. “It’s shameful and embarrassing to work for an institution that is not supportive of women’s rights. “I’m extremely angry,” she added. “It’s disgusting.” A physician in another state echoed her: “I feel shackled. I feel muzzled. I feel completely restrained, and I’m outraged.” The US Supreme Court building stands in Washington, DC, on October 3, 2022. - The Supreme Court begins their new term today, and is expected to hear cases addressing a number of issues, including affirmative action, Alabamas congressional map, immigration, LGBTQ protections, and the authority of the Environmental Protection Agency. Supreme Court declines to hear fetal personhood case These two doctors, and six others interviewed by CNN, say their employers – major public and private medical centers in five states – have asked them to not speak publicly about abortion, or have instructed them that if they do speak publicly about abortion, they can do so only as private citizens and cannot mention where they work. Even when they are permitted to speak about abortion as private citizens, these doctors say, their employers have made it clear that they would prefer the doctors not talk at all, and so they have hesitated to speak up. “If [they] don’t speak up, who is going to provide the evidence about the effect [abortion bans are] having on patients?” asked Dr. Erika Werner, who chairs the health policy and advocacy committee at the Society for Maternal-Fetal Medicine and is the chair of obstetrics and gynecology at Tufts Medical Center in Boston. Dr. Eric Rubin, editor in chief of The New England Journal of Medicine, said doctors need to be able to speak up because “the world of medicine in general – and certainly abortion – is full of misinformation, and we have not found good ways to counter that.” An operating room sits empty at Alamo Women's Reproductive Services, an abortion clinic that closed its doors following the overturn of Roe v. Wade and plans to reopen in New Mexico and Illinois, in San Antonio, Texas, August 16, 2022. REUTERS/Callaghan O'Har 100 days post-Roe: Clinics in 14 of 15 states have stopped providing abortion care, survey finds “We’re really spiting ourselves if we do not allow physicians to speak about the facts,” he said. Dr. Rosha McCoy, acting chief health care officer at the Association of American Medical Colleges, said medical centers and universities are having to deal with a great deal of “fear” and “confusion” in the aftermath of new abortion limitations. “They don’t want themselves or the physicians to be put in a position where something is said that could be interpreted that’s going to cause a problem for both the clinician and/or the institution,” said McCoy, whose group represents more than 400 teaching hospitals and health care systems. “We would never support doctors being censored,” she added. “I’m hoping it’s not censorship as much as a protective desire.”",0
"Thursday was a sad day for Floridians like Estefany Londoño, who have long advocated for abortion rights in their home state, as the possibility of a six-week abortion ban going into effect later this year started to sink in."" It's heartbreaking,"" Londoño, 26, said. ""People should be able to make those decisions when they’re ready and not because they're forced into certain situations."" Latinas and Black women working to keep abortions accessible in Florida worry the new law will result in more people of color being forced to carry unwanted pregnancies to term — which often results in worse economic and mental health outcomes. While women of reproductive age of all races and ethnicities are at risk of unintended pregnancy, Hispanic and Black women face a disproportionally higher risk, according to research published in 2020 in the peer-reviewed journal Contraception and Reproductive Medicine. “The conditions of our state, people not being able to afford abortion care, these are going to keep people pregnant against their will, ultimately,” Florida Access Network co-executive director Stephanie Loraine Piñeiro, who heads the only abortion fund led by queer people of color in the state, said. The law signed by Gov. Ron DeSantis Thursday night will take effect only if Florida’s current 15-week ban is upheld in an ongoing legal challenge that is before the state Supreme Court. Bienvenido US, a Hispanic conservative national group, celebrated the news on Friday calling it “A PRO LIFE VICTORY!” on Twitter. The Radiance Foundation, a faith-based nonprofit group founded by African American anti-abortion rights activist Ryan Bomberger, shared a post on Facebook celebrating the abortion ban saying, “We won’t stop this #humanrights fight until every life is protected from the violence of abortion and the predators who profit from fear and pain.” Florida is home to 828,100 Black women of reproductive age. Among the 1.4 million Latinas of reproductive age, 570,000 are economically insecure and 585,200 are already mothers, according to a November report. For Black and brown people in the state, giving birth can present an additional set of dangers and concerns given its high rates of maternal mortality. Some also face systemic barriers such as lack of heath insurance, health care literacy and access to culturally and linguistically competent health systems, as well as ""discriminatory policies that make it difficult for people to access routine health care,"" Aurelie Colón-Larrauri, the Florida state policy advocate for the National Latina Institute for Reproductive Justice, said ""Forcing anyone in marginalized communities to continue their pregnancy, because they cannot terminate them, may actually contribute to an increase of maternal mortality rates in the state of Florida,"" Colón-Larrauri said.",0
"Thursday was a sad day for Floridians like Estefany Londoño, who have long advocated for abortion rights in their home state, as the possibility of asix-week abortion bangoing into effect later this year started to sink in. ""It's heartbreaking,"" Londoño, 26, said. ""People should be able to make those decisions when they’re ready and not because they're forced into certain situations."" Latinas and Black women working to keepabortions accessiblein Florida worry the new law will result in more people of color being forced to carry unwanted pregnancies to term — which often results inworse economic and mental health outcomes. While women of reproductive age of all races and ethnicities are at risk of unintended pregnancy, Hispanic and Black women face a disproportionally higher risk, according to research published in 2020 in the peer-reviewed journalContraception and Reproductive Medicine. “The conditions of our state, people not being able to afford abortion care, these are going to keep people pregnant against their will, ultimately,”Florida Access Networkco-executive directorStephanie Loraine Piñeiro, who heads the only abortion fund led by queer people of color in the state, said. The law signed by Gov. Ron DeSantis Thursday night will take effect only if Florida’s current 15-week ban is upheld in an ongoing legal challenge that is before the state Supreme Court. Bienvenido US, a Hispanic conservative national group, celebrated the news on Friday calling it “A PRO LIFE VICTORY!”on Twitter. The Radiance Foundation, a faith-based nonprofit group founded by African American anti-abortion rights activist Ryan Bomberger, shareda post on Facebookcelebrating the abortion ban saying, “We won’t stop this#humanrightsfight until every life is protected from the violence of abortion and the predators who profit from fear and pain.” Florida is home to828,100 Black women of reproductive age. Among the1.4 million Latinas of reproductive age, 570,000 are economically insecure and 585,200 are already mothers,according to a November report. For Black and brown people in the state,giving birth can present an additional set of dangersand concerns given its high rates of maternal mortality. Some also face systemic barriers such as lack of heath insurance, health care literacy and access to culturally and linguistically competent health systems, as well as ""discriminatory policies that make it difficult for people to access routine health care,"" Aurelie Colón-Larrauri, the Florida state policy advocate for the National Latina Institute for Reproductive Justice, said. ""Forcing anyone in marginalized communities to continue their pregnancy, because they cannot terminate them, may actually contribute to an increase of maternal mortality rates in the state of Florida,"" Colón-Larrauri said. Colón-Larrauri and Piñero worry about how many people will forgo abortion care because they can’t travel or afford the procedure. ""This six-week abortion ban is effectively a total ban,"" Piñero said, adding that it's often not enough time for people to find out they are pregnant, figure out how to pay for the procedure, secure traveling and lodging logistics, and in some cases child care. ""It’s not realistic, and that’s by design,"" she added. A recentTurnaway Studyfrom demographerDiana Greene Foster, a professor of obstetrics, gynecology and reproductive sciences at the University of California San Francisco, found that women who had been denied abortion access experienced worse economic and mental health outcomes than women who had received care and that 95% of study participants who received abortions said they made the right decision. The new Florida law contains some exceptions, including to save the woman’s life. Abortions for pregnancies involving rape or incest would be allowed until 15 weeks of pregnancy, provided a woman has documentation like a restraining order or police report. In the work Jamarah Amani has done as the executive director of the Southern Birth Justice Network and member of the coalition Black in Repro, she has witnessed how these exceptions ""don’t actually play out in the way that we think they will."" She has seen it with the 15-week abortion ban currently in place. ""There have been situations where people have had to go to other states, or they’ve had to carry pregnancies against their will, because they didn’t have proper documentation,"" Amani, who is also a midwife, said. In cases where the woman's life is at risk, Amani worries about doctors waiting too long to act on behalf of their pregnant patients because it's not always clear how at-risk patients need to be in order for doctors to avoid litigation, criminal penalties or even losing their licenses. ""These further restrictions placed on abortion care make a medically safe practice legally dangerous, and endangers the lives in the process,"" Colón-Larrauri said. Thebill also includes $25 millionto expand Florida Pregnancy Care Network Inc., a statewide system of nonprofit groups that provides services by often subcontracting with crisis pregnancy centers, which areknown to provide inaccurate or misleading information about abortionsto pregnant people. ""What we need is investments in legitimate health care,"" Amani said,  ""and abortion funds to help people get those early abortions, which will hopefully still be legal."" As advocates wait for a Florida court to determine the fate of the new abortion ban, theFlorida Access Networkwill continue debunking the rising abortion misinformation that often follows when a new law is passed and ramp up fundraising efforts to be ready for an increase in patients that may need to travel outside of Florida to get the procedure, Piñeiro said. After Texas passed its six-week abortion law months ago, many independent abortion clinics shut down or ended up drastically increasing their prices. Piñeiro fears the same will happen in Florida. ""The abortion care people will need is getting appointments and tangibly helping them pay for travel,"" Piñeiro said. As a mother raising Black children, Amani worries about how these laws are reviving a painful legacy in which ""our ancestors were forced to breed and not being able to decide anything about their bodies."" ""It’s just crazy that in 2023, I’m handing that world, again, to my children,"" she said. ""It's a matter of life and death, and we want our lives. ""People that are in power should not be able to make death sentence decisions for any group of people,"" Amani added. Londoño agreed. © 2023 NBC UNIVERSAL",0
"While local advocates in favor of abortion access loudly vented their outrage over the U.S. Supreme Court ruling Friday that overturned a national right to the procedure, Washington state’s anti-abortion advocates cheered the ruling in a rather subdued fashion. Some issued statements of support after the court struck down Roe v. Wade, but there was no immediate celebration of this long-sought after conservative win, which gives each state the ability to set its own abortion laws. That’s at least in part because state law enshrines the right to an abortion in Washington. The ruling doesn’t hold the same meaning here that it does in states such as Idaho, where a trigger law renders abortion illegal effective July 24. And that caveat resulted in a less enthusiastic response from some corners of the anti-abortion movement. Esther Ripplinger, executive director of Human Life of Washington, an offshoot of the National Right to Life Committee that has long lobbied to make abortion illegal, called the monumental court decision “bittersweet.” Ripplinger said her reaction to the ruling was “not so much joy, but gratefulness for justice. For me, it’s a time to commemorate the lives of unborn children, including my own … I’m wearing pink to commemorate the life of my unborn child Nina.” Ripplinger was 19, living in Portland a few weeks away from starting college with plans to marry her boyfriend, when they learned she was pregnant. Her boyfriend’s parents insisted she get an abortion and she agreed. Ripplinger said she has been beset with regret ever since, leading to struggles to control her temper and overindulgence in alcohol during triggering times, like the anniversary of her abortion. Even on a day when her side got the biggest win of its half-century fight against legal abortion, the rage surfaced in Ripplinger’s voice when she described the merits of legal abortion as “a trap” that isn’t helping women, but “pushing them off a cliff” toward the symptoms of trauma that follow. “Bringing healing to the women and men involved in abortion who regret their decisions is part of my mission,” she said. Some pregnancy centers and anti-abortion organizations reached Friday deadpanned responses. Step by Step is a pregnancy center in Puyallup that discourages abortion and provides services to new mothers when they opt to give birth. An employee who answered the phone declined to give her name and would only say “There’s not a big, strong reaction down here, honestly.” Senate Minority Leader John Braun, R-Centralia, offered a generally neutral statement, noting the U.S. Supreme Court ruling will not affect the law in Washington state. “Better support for pregnant women who choose to give birth should be a common goal for all of us, regardless of our politics,” he said. “Compassion and empathy, rather than hostility, should be the universal approach. I’m hoping this is how we all move forward.” In a written statement signed by Seattle Archbishop Paul D. Etienne and others, the Washington State Catholic Conference commended the Supreme Court’s decision to overturn Roe and said the Catholic Church welcomes “an opportunity to reduce the number of abortions in the U.S. and build a culture of life.” Julie Barrett, founder of Conservative Ladies of Washington, said, “I am pleased with the decision.” Overturning Roe is in line with the Constitution, she said, because it returns the abortion issue to elected state leaders. Though she noted that means abortion remains legal in this state. For Barrett, the court’s decision doesn’t limit women’s choices. “Motherhood is not obligatory,” Barrett said. “We are not educating people about the choices they have, like adoption. You don’t hear people talking about how to prevent pregnancies in the first place. “I had an unplanned pregnancy at a very early age. I was 15 minutes away from an abortion, but I backed off. Now that kid is 26.” Barrett was a bit more willing to note this milestone than other advocates in Washington. She said, “People I have been in contact with are really happy. Christians around the country have been praying for this for 50 years. It is a great cause for celebration.”",1
"Approximately 25,000 people took to the streets in Mexico City April 29 for the March for Life to demand an end to abortion, which was legalized in the Mexican capital in 2007, according to Steps for Life, the organizer of the event. April 26 marks 16 years since the Legislative Assembly of the Federal District legalized abortion with a reform of the Penal Code. At that time Marcelo Ebrard headed the government of the capital and supported decriminalization, which was known as “the Marcelo Law.” “This legislation has caused more than a million abortions in Mexico, since the official figures from health centers in Mexico City must be added [to] those performed in private clinics,” Steps for Life said in a press release. At approximately 11:15 a.m. the demonstration headed to the Ministry of Foreign Affairs to place a wreath near the Memory and Tolerance Museum symbolizing “the deaths caused by the so-called ‘Marcelo Law’ and the systematic violence experienced by women,” explained Jahel Torres Ramírez, spokeswoman and organizer of the march. The thousands of pro-life marchers then made their way to the Mexico City Congress, where they listened to speeches by the organizers. Daniel Ramírez Cortés, who represents Steps for Life in Michoacán state, noted that current public policies don’t solve the real problems of Mexican women, who need “better education, more job opportunities, safety guarantees, day care for their children, sports, culture, not death.” Fátima Guzmán, the representative of Steps for Life in Jalisco state, pointed out that in recent years it has been proven that decriminalizing abortion doesn’t solve the problems at their source. “It’s not a comprehensive solution, women are not better cared for, the risks in the practice [of abortion] haven’t ended,” she said. Guzmán asked politicians “to open their eyes and realize that Mexico wants life and not unjust laws that promote systematic violence against women and society.” Organizer Jahel Torres demanded that the three branches of government “respect the laws, respect the binding international treaties to which Mexico is a party, and promote the culture of life, the culture of an authentic defense of women for a better development of our country.” The pro-lfe leader stressed “that this Mexico of women, this Mexico of life, this Mexico of opportunities, is the Mexico that we are building this day and that we are committed to defending and spreading because Mexico loves life!” This story was first published by ACI Prensa, CNA’s Spanish-language news partner. It has been translated and adapted by CNA.",1
"Pope Francis spoke out strongly against abortion and gender ideology Friday, citing both as examples of “ideological colonization” during a speech in Budapest. The pope’s denunciation came during an addressto civil authoritiesand other dignitaries at a former Carmelite monastery in Hungary’s capital in which he lamented “self-referential forms of populism” and “supranationalism” gaining traction in Europe. “This is the baneful path taken by those forms of ‘ideological colonization’ that would cancel differences, as in the case of the so-called gender theory, or that would place before the reality of life reductive concepts of freedom, for example by vaunting as progress a senseless ‘right to abortion,’ which is always a tragic defeat,” said the pope, who is in Budapest for a three-day visit. “How much better it would be to build a Europe centered on the human person and on its peoples, with effective policies for natality and the family — policies that are pursued attentively in this country — a Europe whose different nations would form a single family that protects the growth and uniqueness of each of its members,” the Holy Father said. Before his address, Pope Francis met with Hungary’s President Katalin Novák and Prime Minister Viktor Orbán, whose family-centered initiatives, including government bonuses of $33,000 for married couples who have three children, have helped boost the country’s birth rate. Abortion is legal in Hungary up to the first 12 weeks of pregnancy and is permissible up to 24 weeks under certain conditions. Under a newdecreeissued last year, women seeking an abortion must first listen to a fetal heartbeat.",1
